Driver,Compound,TyreLife,FuelLoad,LapDelta,Tire_Fuel_Interaction
GAS,HARD,2.0,79.6,2.8319999999999936,0.02481389578163772
GAS,HARD,3.0,78.0,2.5720000000000027,0.0379746835443038
GAS,HARD,4.0,76.4,2.1509999999999962,0.05167958656330749
GAS,HARD,5.0,74.8,1.9549999999999983,0.06596306068601583
GAS,HARD,6.0,73.19999999999999,1.8389999999999986,0.08086253369272238
GAS,HARD,7.0,71.6,1.9110000000000014,0.09641873278236915
GAS,HARD,8.0,70.0,1.8430000000000035,0.11267605633802817
GAS,HARD,9.0,68.4,1.9249999999999972,0.12968299711815562
GAS,HARD,10.0,66.8,1.813999999999993,0.14749262536873156
GAS,HARD,11.0,65.19999999999999,1.5840000000000032,0.16616314199395774
GAS,HARD,12.0,63.6,1.617999999999995,0.18575851393188855
GAS,HARD,13.0,62.0,1.8999999999999915,0.20634920634920634
GAS,HARD,14.0,60.4,1.6370000000000005,0.22801302931596093
GAS,HARD,15.0,58.8,2.155000000000001,0.2508361204013378
GAS,HARD,16.0,57.2,2.125,0.274914089347079
GAS,HARD,17.0,55.6,1.945999999999998,0.30035335689045933
GAS,HARD,18.0,54.0,2.134999999999991,0.32727272727272727
GAS,HARD,19.0,52.4,1.75,0.3558052434456929
GAS,HARD,20.0,50.8,2.23599999999999,0.3861003861003861
GAS,HARD,21.0,49.2,4.018999999999991,0.4183266932270916
GAS,HARD,22.0,47.6,1.926000000000002,0.45267489711934156
GAS,HARD,23.0,46.0,3.9299999999999926,0.48936170212765956
GAS,HARD,2.0,41.2,3.3289999999999935,0.04739336492890995
GAS,HARD,3.0,39.6,0.3569999999999993,0.07389162561576354
GAS,HARD,4.0,38.0,0.9889999999999901,0.10256410256410256
GAS,HARD,5.0,36.39999999999999,0.12999999999999545,0.13368983957219255
GAS,HARD,6.0,34.8,0.18500000000000227,0.1675977653631285
GAS,HARD,7.0,33.19999999999999,0.12099999999999511,0.2046783625730995
GAS,HARD,8.0,31.599999999999994,0.25,0.24539877300613502
GAS,HARD,9.0,30.0,0.1319999999999908,0.2903225806451613
GAS,HARD,10.0,28.39999999999999,0.0,0.3401360544217688
GAS,HARD,11.0,26.8,0.07099999999999795,0.39568345323741005
GAS,HARD,12.0,25.19999999999999,0.23399999999999466,0.4580152671755727
GAS,HARD,13.0,23.599999999999994,1.9440000000000026,0.5284552845528456
GAS,HARD,14.0,22.0,0.3370000000000033,0.6086956521739131
PER,MEDIUM,2.0,106.8,2.992999999999995,0.01855287569573284
PER,MEDIUM,3.0,105.2,2.777000000000001,0.02824858757062147
PER,MEDIUM,4.0,103.6,3.009999999999991,0.03824091778202677
PER,MEDIUM,5.0,102.0,2.975999999999999,0.04854368932038835
PER,MEDIUM,6.0,100.4,2.6359999999999957,0.05917159763313609
PER,MEDIUM,7.0,98.8,2.415999999999997,0.07014028056112225
PER,MEDIUM,8.0,97.2,2.6599999999999966,0.0814663951120163
PER,MEDIUM,9.0,95.6,2.5819999999999936,0.09316770186335405
PER,MEDIUM,10.0,94.0,2.2920000000000016,0.10526315789473684
PER,MEDIUM,11.0,92.4,2.5330000000000013,0.1177730192719486
PER,MEDIUM,12.0,90.8,3.3159999999999883,0.13071895424836602
PER,MEDIUM,13.0,89.2,3.2759999999999962,0.1441241685144124
PER,HARD,2.0,84.4,3.7339999999999947,0.023419203747072598
PER,HARD,4.0,81.2,3.8810000000000002,0.048661800486618
PER,HARD,5.0,79.6,1.4519999999999982,0.062034739454094295
PER,HARD,6.0,78.0,1.3229999999999933,0.0759493670886076
PER,HARD,7.0,76.4,1.6629999999999967,0.0904392764857881
PER,HARD,8.0,74.8,1.4809999999999945,0.10554089709762533
PER,HARD,9.0,73.19999999999999,1.4609999999999985,0.12129380053908358
PER,HARD,10.0,71.6,1.1389999999999958,0.13774104683195593
PER,HARD,11.0,70.0,1.1069999999999993,0.15492957746478872
PER,HARD,12.0,68.4,1.8579999999999899,0.17291066282420747
PER,HARD,13.0,66.8,1.168999999999997,0.19174041297935104
PER,HARD,14.0,65.19999999999999,1.7639999999999958,0.2114803625377644
PER,HARD,15.0,63.6,1.7379999999999995,0.2321981424148607
PER,HARD,16.0,62.0,1.7920000000000016,0.25396825396825395
PER,HARD,17.0,60.4,1.9709999999999894,0.2768729641693811
PER,HARD,18.0,58.8,2.0529999999999973,0.3010033444816054
PER,HARD,19.0,57.2,2.1779999999999973,0.32646048109965636
PER,HARD,20.0,55.6,2.573999999999998,0.35335689045936397
PER,HARD,2.0,50.8,0.8299999999999983,0.03861003861003861
PER,HARD,3.0,49.2,0.8569999999999993,0.0597609561752988
PER,HARD,4.0,47.6,1.059999999999988,0.0823045267489712
PER,HARD,5.0,46.0,0.6569999999999965,0.10638297872340426
PER,HARD,6.0,44.39999999999999,0.6099999999999994,0.13215859030837007
PER,HARD,7.0,42.8,0.9619999999999891,0.15981735159817353
PER,HARD,8.0,41.2,0.4099999999999966,0.1895734597156398
PER,HARD,9.0,39.6,0.31799999999999784,0.22167487684729062
PER,HARD,10.0,38.0,0.3810000000000002,0.2564102564102564
PER,HARD,11.0,36.39999999999999,0.03999999999999204,0.2941176470588236
